removed,fly,s150,s150_loomR150,s150_loomR100,loomR
PVLP069_R,3,96.0,89.0,105.667,223.333
PVLP069_R,0,89.333,86.0,92.667,227.0
intact,2,90.0,2.667,14.667,258.0
PVLP069_R,1,101.0,82.333,98.333,221.667
intact,0,89.333,2.0,17.333,257.333
PVLP069_L,1,101.0,3.0,19.333,250.667
PVLP069_L,3,96.0,2.0,7.667,256.0
intact,5,94.667,5.333,21.0,263.333
PVLP069_L,4,92.0,1.0,4.333,253.333
PVLP069_R,5,94.667,84.0,93.667,230.333
PVLP069_both,0,89.333,72.667,86.667,226.333
PVLP069_both,1,101.0,79.0,95.0,225.333
PVLP069_both,2,90.0,83.333,96.333,230.333
PVLP069_L,2,90.0,2.667,11.0,257.667
PVLP069_both,4,92.0,67.0,77.333,223.667
PVLP069_L,0,89.333,2.667,15.333,257.333
PVLP069_both,5,94.667,85.333,89.667,233.0
PVLP069_L,5,94.667,3.0,13.333,262.0
PVLP069_R,4,92.0,73.0,87.333,225.0
PVLP069_both,3,96.0,82.0,98.667,225.333
intact,1,101.0,4.333,13.667,252.333
intact,4,92.0,0.667,6.333,252.0
intact,3,96.0,1.0,8.0,256.0
PVLP069_R,2,90.0,90.333,94.0,228.0
