label,s80,s80_l100,restored_share
loom_targets_0-34,18.6665,18.667,0.6666666666666666
hubs_1295-1329,18.6665,10.0,0.3333333333333333
loom_targets_35-69,18.3335,9.667000000000002,0.6666666666666666
hubs_805-839,18.0,8.0,0.6666666666666666
hubs_910-944,18.6665,8.0,0.6666666666666666
hubs_1225-1259,18.3335,7.0,0.3333333333333333
hubs_1400-1434,18.6665,6.6665,0.3333333333333333
hubs_1575-1609,18.0,6.0,0.3333333333333333
hubs_1260-1294,17.6665,6.0,0.6666666666666666
hubs_1190-1224,17.3335,5.3335,0.0
loom_targets_315-349,18.6665,5.3335,0.0
hubs_735-769,15.6665,5.3335,0.3333333333333333
hubs_350-384,18.3335,5.3335,0.3333333333333333
intact,18.0,5.3335,0.3333333333333333
hubs_420-454,18.0,5.0,0.3333333333333333
loom_targets_70-104,18.3335,5.0,0.6666666666666666
hubs_875-909,15.0,5.0,0.0
hubs_70-104,18.6665,5.0,0.0
hubs_1435-1469,18.6665,5.0,0.0
hubs_1085-1119,18.6665,5.0,0.0
hubs_315-349,18.6665,5.0,0.3333333333333333
hubs_175-209,18.3335,5.0,0.3333333333333333
hubs_1365-1399,12.6665,4.6665,0.3333333333333333
hubs_1015-1049,17.6665,4.6665,0.3333333333333333
hubs_385-419,10.0,4.6665,0.0
loom_targets_140-174,18.6665,4.6665,0.3333333333333333
hubs_525-559,18.6665,4.6665,0.0
loom_targets_210-244,18.6665,4.6665,0.0
hubs_595-629,19.0,4.3335,0.3333333333333333
loom_targets_280-314,18.6665,4.3335,0.0
hubs_1330-1364,18.0,4.3335,0.3333333333333333
hubs_1120-1154,17.0,4.3335,0.0
loom_targets_105-139,18.6665,4.3335,0.0
hubs_630-664,16.6665,4.3335,0.0
hubs_560-594,17.6665,4.0,0.3333333333333333
hubs_455-489,18.6665,4.0,0.0
loom_targets_245-279,18.6665,4.0,0.0
hubs_1505-1539,17.3335,4.0,0.0
hubs_945-979,19.0,3.6665,0.0
hubs_0-34,17.3335,3.6665,0.3333333333333333
hubs_245-279,15.0,3.6665,0.0
hubs_770-804,18.6665,3.6665,0.0
hubs_140-174,16.3335,3.3335,0.0
hubs_840-874,17.6665,3.3335,0.0
hubs_665-699,18.6665,3.0,0.0
hubs_1540-1574,19.0,3.0,0.0
hubs_1050-1084,18.6665,2.6665,0.0
hubs_700-734,20.3335,2.3335,0.0
loom_targets_175-209,18.6665,2.3335,0.0
hubs_490-524,18.3335,2.3335,0.0
hubs_280-314,16.0,2.0,0.0
hubs_1470-1504,17.6665,2.0,0.0
hubs_35-69,17.6665,1.3335,0.0
hubs_105-139,19.0,1.0,0.0
hubs_1155-1189,17.0,0.6665,0.0
hubs_1610-1644,16.3335,0.6665,0.0
hubs_980-1014,18.6665,0.6665,0.0
hubs_210-244,14.6665,0.0,0.0
