label,s80,s80_l100,restored_share,neuron,from_loom_syn
single_5978,18.0,7.0,0.3333333333333333,PLP219_L,865
single_559,18.0,6.667,0.6666666666666666,DNpe025_R,655
single_1034,18.0,6.3335,0.0,PVLP137_L,701
single_1584,18.0,6.0,0.3333333333333333,AVLP500_L,1079
single_1420,18.3335,6.0,0.3333333333333333,VP1m_l2PN_R,0
single_384,18.0,6.0,0.3333333333333333,DNp103_L,2350
single_127532,18.6665,6.0,0.3333333333333333,M_imPNl92_R,0
single_11518,18.6665,6.0,0.3333333333333333,PLP231_L,0
single_2684,18.0,6.0,0.6666666666666666,AVLP500_R,1647
single_943,18.0,6.0,0.0,AVLP258_L,351
single_6068,18.0,6.0,0.3333333333333333,AN19B025_L,0
single_710,18.6665,6.0,0.3333333333333333,DL5_adPN_L,0
single_5728,18.0,5.667,0.3333333333333333,AVLP259_R,725
single_1011,18.6665,5.6665,0.3333333333333333,DM2_lPN_L,0
single_10287,18.0,5.6665,0.0,CL323_L,578
single_10906,18.0,5.6665,0.3333333333333333,PVLP064_L,300
single_86287,18.6665,5.6665,0.3333333333333333,PAM11_R,0
single_93605,18.6665,5.6665,0.3333333333333333,KCg-d_L,0
single_3505,18.0,5.6665,0.0,DNge010_L,0
single_3166,18.6665,5.6665,0.3333333333333333,LHPV10b1_L,0
single_2345,18.0,5.6665,0.0,AVLP340_R,810
single_1834,17.6665,5.6665,0.3333333333333333,SLP130_R,0
single_4596,18.6665,5.6665,0.3333333333333333,ANXXX094_R,0
single_567,18.0,5.6665,0.0,PVLP120_L,640
single_133787,18.0,5.6665,0.3333333333333333,AVLP452_R,548
single_129939,18.6665,5.6665,0.3333333333333333,CL339_R,0
single_118776,18.3335,5.6665,0.3333333333333333,<NA>_R,308
single_131072,18.0,5.3335,0.3333333333333333,AN09B013_R,0
single_129472,18.0,5.3335,0.3333333333333333,LPT21_L,5
single_124725,18.0,5.3335,0.3333333333333333,AN09B018_L,0
single_124499,18.0,5.3335,0.3333333333333333,CL263_L,0
single_12178,18.0,5.3335,0.0,CB3201_L,393
single_132567,18.0,5.3335,0.3333333333333333,SMP178_L,0
single_15062,18.0,5.3335,0.3333333333333333,AN07B005_L,0
single_132,18.0,5.3335,0.0,AMMC-A1_R,2235
single_143335,18.0,5.3335,0.3333333333333333,IN04B002_R,0
single_1566,18.0,5.3335,0.3333333333333333,SMP527_L,0
single_16697,18.0,5.3335,0.3333333333333333,AN17A003_R,0
single_1515,18.0,5.3335,0.3333333333333333,DNae005_R,0
single_124690,18.0,5.3335,0.3333333333333333,ANXXX084_L,0
single_124920,18.0,5.3335,0.3333333333333333,DNd05_R,0
single_125003,18.6665,5.3335,0.3333333333333333,AN01A055_R,0
single_125896,18.3335,5.3335,0.3333333333333333,AN09B003_L,0
single_39476,18.0,5.3335,0.3333333333333333,LoVP69_L,3
single_4116,18.0,5.3335,0.3333333333333333,WED092_L,0
single_4017,18.0,5.3335,0.3333333333333333,DNpe040_L,0
single_3825,18.0,5.3335,0.3333333333333333,WED092_R,0
single_4558,18.0,5.3335,0.3333333333333333,SMP551_R,0
single_19471,18.0,5.3335,0.3333333333333333,AN17A009_R,0
single_2294,18.0,5.3335,0.3333333333333333,PLP209_L,0
single_20336,18.0,5.3335,0.3333333333333333,AN17A014_L,0
single_19669,18.0,5.3335,0.3333333333333333,AN18B002_R,0
single_2617,18.0,5.3335,0.3333333333333333,AVLP210_R,0
single_2605,18.0,5.3335,0.3333333333333333,MeVP43_L,0
single_243,17.6665,5.3335,0.3333333333333333,DNp31_R,0
single_2407,18.0,5.3335,0.3333333333333333,AVLP397_R,0
single_178,18.0,5.3335,0.0,DNp02_L,2279
single_1711,18.0,5.3335,0.3333333333333333,AVLP751m_R,0
single_34856,18.0,5.3335,0.3333333333333333,AN08B023_L,0
single_376,18.6665,5.3335,0.3333333333333333,VP1d+VP4_l2PN2_R,0
single_3719,18.0,5.3335,0.3333333333333333,WED092_R,0
single_3740,18.6665,5.3335,0.3333333333333333,AN17A002_R,0
single_3529,18.0,5.3335,0.3333333333333333,AN09B004_L,0
single_2732,18.0,5.3335,0.3333333333333333,SMP588_R,0
single_129948,18.0,5.3335,0.3333333333333333,DNpe048_L,0
single_130581,18.0,5.3335,0.0,PVLP122_R,1503
single_1426,18.0,5.3335,0.3333333333333333,DNg101_L,0
single_142926,18.0,5.3335,0.3333333333333333,IN10B004_R,0
single_133740,18.0,5.3335,0.0,DNp04_L,8768
single_129657,18.0,5.3335,0.3333333333333333,SMP548_R,0
single_1284,18.0,5.3335,0.3333333333333333,DNp14_L,0
single_143442,18.0,5.3335,0.3333333333333333,IN10B006_R,0
single_13221,18.0,5.3335,0.3333333333333333,SMP588_L,0
single_134550,18.6665,5.3335,0.3333333333333333,SLP230_L,0
single_1239,18.0,5.3335,0.3333333333333333,AVLP758m_L,0
single_11207,18.6665,5.3335,0.3333333333333333,dMS9_L,0
single_10438,18.0,5.3335,0.3333333333333333,AN08B013_L,0
single_1148,18.0,5.3335,0.3333333333333333,DNx01_R,0
single_107658,18.0,5.3335,0.3333333333333333,DNge074_R,0
single_10008,18.0,5.3335,0.3333333333333333,ANXXX151_R,0
single_6011,18.0,5.3335,0.0,PVLP071_R,992
single_5926,18.0,5.3335,0.3333333333333333,AN05B102d_L,0
single_8468,18.0,5.3335,0.3333333333333333,<NA>_L,1035
single_7451,18.0,5.3335,0.3333333333333333,AN05B102c_R,0
single_469,18.0,5.3335,0.3333333333333333,DNg37_R,0
single_4790,18.0,5.3335,0.3333333333333333,AN04B001_R,0
single_7333,18.0,5.3335,0.3333333333333333,MeLo1_R,0
single_7023,18.0,5.3335,0.3333333333333333,AN17A015_R,0
single_986,18.0,5.3335,0.3333333333333333,DNp14_R,0
single_9999,18.0,5.3335,0.0,CB2371_L,563
single_9723,18.0,5.3335,0.3333333333333333,MeLo1_R,0
single_97,18.0,5.3335,0.3333333333333333,DM3_adPN_L,0
single_932,18.0,5.3335,0.3333333333333333,AVLP473_R,0
single_8953,18.3335,5.3335,0.3333333333333333,VP3+VP1l_ivPN_L,0
single_660,18.0,5.3335,0.3333333333333333,WED193_R,21
single_66084,18.6665,5.3335,0.3333333333333333,PAM08_L,0
single_4646,18.0,5.3335,0.3333333333333333,aMe26_R,0
single_49509,18.0,5.3335,0.3333333333333333,AN09B009_L,0
single_544,18.0,5.3335,0.0,LPT60_R,306
single_5420,18.0,5.3335,0.3333333333333333,AVLP595_R,0
single_5213,18.0,5.3335,0.3333333333333333,SMP504_L,0
single_5041,18.0,5.3335,0.3333333333333333,SIP132m_R,0
single_3482,18.0,5.3335,0.3333333333333333,ANXXX102_L,0
single_33402,18.0,5.3335,0.3333333333333333,LT63_L,1
single_2799,18.6665,5.3335,0.3333333333333333,PLP245_R,0
single_3173,18.0,5.3335,0.3333333333333333,MeVC10_R,0
single_3317,18.0,5.3335,0.3333333333333333,AN07B018_L,0
single_3180,18.0,5.3335,0.3333333333333333,ANXXX093_R,0
single_2682,18.0,5.3335,0.3333333333333333,ANXXX027_L,0
single_2674,18.3335,5.3335,0.3333333333333333,PPM1205_R,0
single_4514,18.0,5.3335,0.3333333333333333,DNpe040_R,0
single_4348,18.0,5.3335,0.3333333333333333,AN01A086_R,0
single_38649,18.0,5.3335,0.3333333333333333,AN01A006_R,0
single_1533,18.6665,5.0,0.3333333333333333,GNG583_R,0
single_132251,18.0,5.0,0.3333333333333333,SAD064_R,476
single_128698,18.0,5.0,0.0,<NA>_L,1176
single_1565,18.0,5.0,0.0,PVLP151_R,2420
single_103,18.0,5.0,0.0,DNp02_R,1935
single_945,18.3335,5.0,0.0,DNp05_R,625
single_965,18.0,5.0,0.3333333333333333,LPT60_L,366
single_207,18.0,5.0,0.0,DNp06_L,1591
single_2762,18.0,5.0,0.3333333333333333,PVLP069_R,4198
single_7228,18.6665,5.0,0.0,WED125_R,311
single_413,18.0,5.0,0.6666666666666666,DNpe025_L,644
single_3684,18.0,5.0,0.0,AVLP430_R,292
single_133741,18.0,5.0,0.0,AVLP452_L,858
single_11881,18.0,5.0,0.0,PVLP074_R,409
single_128890,18.6665,5.0,0.0,DNp71_L,799
single_138117,18.6665,5.0,0.3333333333333333,PAM10_R,0
single_2091,18.0,4.6665,0.0,LC31b_R,490
single_204,18.0,4.6665,0.0,DNpe056_L,876
single_1908,18.0,4.6665,0.3333333333333333,AVLP396_R,497
single_261,18.0,4.6665,0.0,DNp103_R,3050
single_1704,18.0,4.6665,0.3333333333333333,PVLP151_R,1633
single_1519,18.0,4.6665,0.0,AVLP498_R,0
single_15,18.0,4.6665,0.0,AMMC-A1_L,2324
single_1168,18.0,4.6665,0.0,DNp68_R,0
single_140903,18.6665,4.6665,0.3333333333333333,PVLP076_L,585
single_1052,18.0,4.6665,0.3333333333333333,DNp04_R,6227
