graph,w,cond,active,MN9_L,MN9_R,DNp01,DNa_L,DNa_R,DNa02_L,DNa02_R,headDN,wall_ms
malecns_all,0.152,bitter150,11572.2,0.0,0.0,0.0,1.1,0.0,2.2,0.0,12.2,2372.5
malecns_all,0.152,head,3433.5,32.8,0.0,0.0,0.0,0.0,0.0,0.0,174.3,3137.6
malecns_all,0.152,lc10L,1080.3,0.0,0.0,0.0,81.9,0.0,163.3,0.0,0.3,1752.0
malecns_all,0.152,lc10R,1230.2,1.1,0.0,0.0,0.0,82.5,0.0,162.8,1.0,2269.7
malecns_all,0.152,loom,3223.7,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,3104.1
malecns_all,0.152,loomL,2102.2,0.0,0.0,251.7,0.0,25.6,0.0,0.0,0.0,2483.0
malecns_all,0.152,loomR,2291.5,0.0,0.0,278.1,5.6,0.0,0.0,0.0,0.0,2797.8
malecns_all,0.152,rand0_150,12032.5,45.6,0.0,0.0,0.6,0.6,1.1,1.1,25.7,3858.2
malecns_all,0.152,rand0_40,10965.3,25.6,0.0,0.0,1.4,0.8,2.8,1.7,16.4,2180.7
malecns_all,0.152,rand0_80,11867.8,38.9,0.0,0.0,1.9,0.6,3.9,1.1,24.5,3449.2
malecns_all,0.152,rand1_150,12040.8,44.4,0.0,0.0,0.6,1.7,1.1,3.3,25.5,3592.7
malecns_all,0.152,rand1_40,11365.2,31.1,0.0,0.0,1.1,1.1,2.2,2.2,19.7,2487.1
malecns_all,0.152,rand1_80,11929.2,42.2,0.0,0.0,1.1,1.1,2.2,2.2,24.9,3402.4
malecns_all,0.152,rand2_150,12011.0,36.7,0.0,0.0,0.6,0.6,1.1,1.1,24.6,3709.7
malecns_all,0.152,rand2_40,7226.0,18.9,0.0,0.0,0.3,1.1,0.6,2.2,11.9,1619.6
malecns_all,0.152,rand2_80,11700.7,35.0,0.0,0.0,0.3,0.8,0.6,1.7,20.7,3017.7
malecns_all,0.152,sugar10,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4
malecns_all,0.152,sugar100,4142.5,78.3,0.0,0.0,0.3,0.0,0.6,0.0,4.5,1282.8
malecns_all,0.152,sugar100_bitter,11316.5,0.0,0.0,0.0,1.1,0.0,2.2,0.0,7.8,2255.8
malecns_all,0.152,sugar150,8234.5,117.8,4.4,0.0,1.1,0.0,2.2,0.0,6.2,2456.3
malecns_all,0.152,sugar20,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4
malecns_all,0.152,sugar40,81.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.6
malecns_all,0.152,sugar40_bitter,11655.2,0.0,0.0,0.0,0.6,0.0,1.1,0.0,12.3,2476.3
malecns_all,0.152,sugar60,118.2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.3
malecns_all,0.152,sugar80,297.7,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.6
malecns_all,0.152,sugar80_bitter,11297.2,0.0,0.0,0.0,1.1,0.0,2.2,0.0,9.6,2299.4
malecns_all,0.275,bitter150,19977.5,18.9,0.0,1.7,1.7,0.0,3.3,0.0,0.2,4767.1
malecns_all,0.275,head,21803.0,112.2,0.0,0.0,0.0,0.0,0.0,0.0,164.3,5088.3
malecns_all,0.275,lc10L,19870.7,5.6,0.0,0.0,86.9,0.0,168.9,0.0,0.2,4321.0
malecns_all,0.275,lc10R,20985.5,7.2,0.0,0.0,0.0,70.6,0.0,137.8,0.3,4952.0
malecns_all,0.275,loom,21917.5,0.0,0.0,394.2,2.2,1.4,4.4,0.0,0.0,5334.2
malecns_all,0.275,loomL,20690.2,0.0,0.0,211.4,4.2,3.9,8.3,0.0,0.0,5063.6
malecns_all,0.275,loomR,20878.0,0.0,0.0,209.7,5.0,0.0,6.7,0.0,0.0,4600.0
malecns_all,0.275,rand0_150,20200.5,18.3,0.0,0.0,3.3,1.1,6.7,2.2,3.2,5294.6
malecns_all,0.275,rand0_40,19888.2,18.9,0.0,0.0,2.8,1.7,5.6,2.8,4.3,4860.4
malecns_all,0.275,rand0_80,19953.8,18.3,0.0,0.0,4.4,0.8,8.9,1.7,3.1,5081.6
malecns_all,0.275,rand1_150,20190.0,28.9,0.0,0.0,2.2,1.9,4.4,3.9,3.1,5171.4
malecns_all,0.275,rand1_40,19796.0,23.3,0.0,0.0,3.1,2.2,6.1,4.4,4.2,5098.8
malecns_all,0.275,rand1_80,20136.2,19.4,0.0,0.0,2.8,1.7,5.6,3.3,3.8,5206.5
malecns_all,0.275,rand2_150,19944.0,7.8,0.0,1.1,3.3,0.3,6.1,0.0,1.4,5118.0
malecns_all,0.275,rand2_40,19689.7,12.2,0.0,1.4,1.7,0.8,3.3,1.1,1.9,4355.7
malecns_all,0.275,rand2_80,19724.0,8.9,0.0,1.1,2.5,0.0,5.0,0.0,1.9,4831.9
malecns_all,0.275,sugar10,16208.8,12.2,0.0,0.0,1.7,0.6,2.8,1.1,0.2,2193.3
malecns_all,0.275,sugar100,20017.5,230.0,58.9,0.0,5.6,0.0,11.1,0.0,0.0,4771.7
malecns_all,0.275,sugar100_bitter,19684.5,21.1,0.0,0.0,0.3,0.0,0.6,0.0,0.0,4772.3
