graph,w,mode,frac,mask,fly,n_removed,syn_lost,eat,bitter,bitter_left_hz,escape,escape_latency_ms,turn_away,turn_wrong_side,turn_to,head,active_eat,eat:MN9_L,eat:MN9_R,eat:DNp01_L,eat:DNp01_R,eat:DNa01_L,eat:DNa01_R,eat:DNa02_L,eat:DNa02_R,eat:DNg15_L,eat:DNg15_R,eat:DNg35_L,eat:DNg35_R,eat:DNg84_L,eat:DNg84_R,eat:DNg85_L,eat:DNg85_R,eat:DNg48_L,eat:DNg48_R,active_eat_bitter,eat_bitter:MN9_L,eat_bitter:MN9_R,eat_bitter:DNp01_L,eat_bitter:DNp01_R,eat_bitter:DNa01_L,eat_bitter:DNa01_R,eat_bitter:DNa02_L,eat_bitter:DNa02_R,eat_bitter:DNg15_L,eat_bitter:DNg15_R,eat_bitter:DNg35_L,eat_bitter:DNg35_R,eat_bitter:DNg84_L,eat_bitter:DNg84_R,eat_bitter:DNg85_L,eat_bitter:DNg85_R,eat_bitter:DNg48_L,eat_bitter:DNg48_R,active_loom,loom:MN9_L,loom:MN9_R,loom:DNp01_L,loom:DNp01_R,loom:DNa01_L,loom:DNa01_R,loom:DNa02_L,loom:DNa02_R,loom:DNg15_L,loom:DNg15_R,loom:DNg35_L,loom:DNg35_R,loom:DNg84_L,loom:DNg84_R,loom:DNg85_L,loom:DNg85_R,loom:DNg48_L,loom:DNg48_R,active_loomL,loomL:MN9_L,loomL:MN9_R,loomL:DNp01_L,loomL:DNp01_R,loomL:DNa01_L,loomL:DNa01_R,loomL:DNa02_L,loomL:DNa02_R,loomL:DNg15_L,loomL:DNg15_R,loomL:DNg35_L,loomL:DNg35_R,loomL:DNg84_L,loomL:DNg84_R,loomL:DNg85_L,loomL:DNg85_R,loomL:DNg48_L,loomL:DNg48_R,active_lc10L,lc10L:MN9_L,lc10L:MN9_R,lc10L:DNp01_L,lc10L:DNp01_R,lc10L:DNa01_L,lc10L:DNa01_R,lc10L:DNa02_L,lc10L:DNa02_R,lc10L:DNg15_L,lc10L:DNg15_R,lc10L:DNg35_L,lc10L:DNg35_R,lc10L:DNg84_L,lc10L:DNg84_R,lc10L:DNg85_L,lc10L:DNg85_R,lc10L:DNg48_L,lc10L:DNg48_R,active_head,head:MN9_L,head:MN9_R,head:DNp01_L,head:DNp01_R,head:DNa01_L,head:DNa01_R,head:DNa02_L,head:DNa02_R,head:DNg15_L,head:DNg15_R,head:DNg35_L,head:DNg35_R,head:DNg84_L,head:DNg84_R,head:DNg85_L,head:DNg85_R,head:DNg48_L,head:DNg48_R,eat_rel,eat_base,bitter_rel,bitter_base,escape_rel,escape_base,turn_away_rel,turn_away_base,turn_to_rel,turn_to_base,head_rel,head_base
malecns_ge5,0.5524861878453039,A,0.0,0,3,0,,15.0,1.0,0.0,389.4445,3.335,20.5555,0.0,146.667,178.44440000000003,235.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5265.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.778,0.0,20.0,7.778,36.667,35.556,0.0,0.0,0.0,0.0,0.0,0.0,2728.0,0.0,0.0,398.889,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879.0,0.0,0.0,390.0,156.667,0.0,41.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,0.0,0.0,0.0,0.0,3.333,0.0,146.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3259.6666666666665,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222,174.444,190.0,72.222,272.222,238.889,238.889,206.667,225.556,153.333,1.0799913600691196,13.889,1.0,1.0,1.0042975620071277,387.778,0.9367146291169668,21.94425,0.9635072459959795,152.222,0.9855776386983782,181.05565
malecns_ge5,0.5524861878453039,A,0.0,2,3,0,,16.111,1.0,0.0,387.22249999999997,3.4699999999999998,22.778,0.0,157.778,181.1112,2298.6666666666665,32.222,0.0,0.0,0.0,0.0,0.0,1.111,0.0,3.333,2.222,5.556,6.667,0.0,0.0,0.0,0.0,0.0,0.0,5201.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,12.222,3.333,25.556,24.444,0.0,0.0,0.0,0.0,0.0,0.0,2700.6666666666665,0.0,0.0,396.667,377.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872.3333333333333,0.0,0.0,390.0,153.333,0.0,45.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.6666666666666,0.0,0.0,0.0,0.0,2.222,0.0,157.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279.3333333333335,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.444,185.556,202.222,73.333,275.556,237.778,237.778,206.667,222.222,155.556,1.1599827201382389,13.889,1.0,1.0,0.9985674793309572,387.778,1.037994007541839,21.94425,1.0364993233566764,152.222,1.0003068117454494,181.05565
malecns_ge5,0.5524861878453039,A,0.0,0,5,0,,15.0,1.0,0.0,391.111,3.265,23.889,0.0,153.333,183.1111,219.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7590.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,33.333,7.778,61.111,57.778,0.0,0.0,0.0,0.0,0.0,0.0,2738.6666666666665,0.0,0.0,398.889,383.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840.6666666666667,0.0,0.0,390.0,157.778,0.0,47.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,153.333,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.222,181.111,203.333,85.556,262.222,248.889,232.222,217.778,211.111,166.667,1.2272950417280315,12.222,1.0,1.0,1.002848717948718,390.0,0.9885069361829787,24.16675,1.0,153.333,0.9990904517622974,183.2778
malecns_ge5,0.5524861878453039,A,0.0,1,3,0,,10.5555,1.0,0.0,387.778,3.435,21.111,0.0,155.556,181.00010000000003,185.0,21.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7574.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,26.667,10.0,53.333,53.333,0.0,0.0,0.0,0.0,0.0,0.0,2734.0,0.0,0.0,397.778,377.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1846.0,0.0,0.0,390.0,157.778,0.0,42.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.6666666666666,0.0,0.0,0.0,0.0,2.222,0.0,155.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3307.3333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222,184.444,195.556,70.0,273.333,235.556,245.556,212.222,225.556,155.556,0.7599899200806394,13.889,1.0,1.0,1.0,387.778,0.9620287774701801,21.94425,1.0219022217550682,152.222,0.9996931882545506,181.05565
malecns_ge5,0.5524861878453039,A,0.0,0,1,0,,14.4445,1.0,0.0,387.22249999999997,3.465,24.4445,0.0,157.778,178.6667,245.33333333333334,28.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8137.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,15.556,0.0,41.111,6.667,68.889,67.778,0.0,0.0,0.0,0.0,0.0,0.0,2642.3333333333335,0.0,0.0,396.667,377.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.0,0.0,0.0,388.889,151.111,0.0,48.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.6666666666666,0.0,0.0,0.0,0.0,1.111,0.0,157.778,0.0,0.0,0.0,4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3162.3333333333335,34.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.556,181.111,201.111,70.0,262.222,260.0,217.778,204.444,215.556,158.889,1.3684335180711478,10.5555,1.0,1.0,0.9985674793309572,387.778,1.0602344317578045,23.05575,1.0,157.778,0.9913687127976706,180.22225
malecns_ge5,0.5524861878453039,A,0.0,1,5,0,,8.3335,1.0,0.0,391.111,3.335,24.4445,0.0,157.778,183.889,139.66666666666666,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7827.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,36.667,10.0,65.556,67.778,0.0,0.0,0.0,0.0,0.0,0.0,2733.0,0.0,0.0,398.889,383.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.6666666666667,0.0,0.0,390.0,158.889,0.0,48.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,157.778,0.0,0.0,0.0,4.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3168.6666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.556,181.111,205.556,81.111,267.778,247.778,228.889,221.111,214.444,165.556,0.6818442153493701,12.222,1.0,1.0,1.002848717948718,390.0,1.0114930638170214,24.16675,1.0289891934547684,153.333,1.0033348283316363,183.2778
malecns_ge5,0.5524861878453039,A,0.0,1,4,0,,6.111,1.0,0.0,385.0,3.435,25.5555,0.0,146.667,179.66670000000002,180.33333333333334,12.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7733.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111,1.111,40.0,6.667,73.333,67.778,0.0,0.0,0.0,0.0,0.0,0.0,2747.0,0.0,0.0,401.111,368.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1777.3333333333333,0.0,0.0,394.444,137.778,0.0,51.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,146.667,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3193.3333333333335,32.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333,188.889,197.778,68.889,268.889,255.556,215.556,211.111,212.222,164.444,0.5945853907713263,10.277750000000001,1.0,1.0,1.0014449419877252,384.4445,1.0952278912293483,23.3335,1.0,146.667,1.0131574161558354,177.33344999999997
malecns_ge5,0.5524861878453039,A,0.0,0,2,0,,17.778,1.0,0.0,386.66650000000004,3.37,23.889,0.0,151.111,177.8888,275.6666666666667,35.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7815.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,11.111,0.0,38.889,7.778,64.444,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.0,0.0,0.0,398.889,374.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.0,0.0,0.0,393.333,154.444,0.0,47.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,151.111,0.0,0.0,0.0,12.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.6666666666665,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333,186.667,208.889,62.222,268.889,241.111,211.111,213.333,214.444,158.889,1.391297542651432,12.778,1.0,1.0,0.9971343121156384,387.77775,1.0238069728073371,23.3335,1.0,151.111,0.9944096571698013,178.88885
malecns_ge5,0.5524861878453039,A,0.0,0,4,0,,13.3335,1.0,0.0,384.4445,3.4,25.0,0.0,145.556,177.44459999999998,285.0,26.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7862.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,13.333,0.0,40.0,8.889,73.333,72.222,0.0,0.0,0.0,0.0,0.0,0.0,2725.6666666666665,0.0,0.0,401.111,367.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.0,0.0,0.0,393.333,137.778,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,145.556,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.3333333333335,32.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.556,177.778,192.222,70.0,263.333,255.556,217.778,207.778,208.889,165.556,1.297317019775729,10.277750000000001,1.0,1.0,1.0,384.4445,1.0714209184220111,23.3335,0.9924250172158701,146.667,1.000626785301927,177.33344999999997
malecns_ge5,0.5524861878453039,A,0.0,1,1,0,,13.3335,1.0,0.0,387.22249999999997,3.47,23.889,0.0,154.444,181.5556,185.33333333333334,26.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8061.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,15.556,2.222,40.0,5.556,76.667,71.111,0.0,0.0,0.0,0.0,0.0,0.0,2659.3333333333335,0.0,0.0,395.556,378.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1721.6666666666667,0.0,0.0,390.0,150.0,0.0,47.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.6666666666666,0.0,0.0,0.0,0.0,1.111,0.0,154.444,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.556,180.0,212.222,65.556,261.111,258.889,223.333,215.556,220.0,163.333,1.263180332528066,10.5555,1.0,1.0,0.9985674793309572,387.778,1.0361406590546827,23.05575,0.978869043846417,157.778,1.0073983650742346,180.22225
