graph,w,mode,frac,n,eat_n,eat_measurable,eat_med,eat_q25,eat_q75,bitter_n,bitter_measurable,bitter_med,bitter_q25,bitter_q75,escape_n,escape_measurable,escape_med,escape_q25,escape_q75,turn_away_n,turn_away_measurable,turn_away_med,turn_away_q25,turn_away_q75,turn_to_n,turn_to_measurable,turn_to_med,turn_to_q25,turn_to_q75,head_n,head_measurable,head_med,head_q25,head_q75
malecns_ge5,0.5524861878453039,B,0.0,100,100,1.0,1.0,0.8000180001800017,1.157984679073595,100,1.0,1.0,1.0,1.0,100,1.0,1.0,0.9985674793309572,1.0014325206690424,100,1.0,1.0,0.9758953329001221,1.0238069728073371,100,1.0,1.0,0.9842949023869672,1.011677166275865,100,1.0,1.0,0.9930781294848068,1.0059919130439703
malecns_ge5,0.5524861878453039,B,0.01,100,100,1.0,0.7527912501125011,0.5,1.0499954999549994,97,0.97,1.0,1.0,1.0,100,1.0,0.9982155859939312,0.9964416367574119,1.0,100,1.0,1.0,0.9523646259669574,1.0476139456146742,100,1.0,1.0163798514304416,0.9835628708032117,1.0495823341576578,100,1.0,0.9996877029294247,0.9854906484665316,1.011885637890148
malecns_ge5,0.5524861878453039,B,0.02,100,100,1.0,0.7386587709765169,0.40000900009000084,1.1500315003150032,94,0.94,1.0,1.0,1.0,100,1.0,0.9971349586619148,0.995000307134157,1.0007116726485177,100,1.0,1.0057465319085108,0.9285576531596202,1.0714209184220111,100,1.0,1.0074070730091451,0.9632389435580468,1.0489524133199906,100,1.0,0.9968726596081647,0.9788750608201021,1.0146980396703822
malecns_ge5,0.5524861878453039,B,0.05,100,100,1.0,0.5954463263336609,0.2964433835035384,1.1090915971751765,85,0.85,1.0,1.0,1.0,100,1.0,0.9914022971906606,0.9856722145144902,0.9944380594835903,100,1.0,1.0238069728073371,0.8790966827659437,1.1253643630811845,100,1.0,1.0036761056441954,0.8966766884718574,1.0765024193544253,100,1.0,0.9967529870237508,0.9682986237399935,1.015017194773443
malecns_ge5,0.5524861878453039,B,0.1,100,100,1.0,0.46989158788639956,0.19543732624366006,0.872737890670512,80,0.8,1.0,1.0,1.0,100,1.0,0.9785096111692771,0.9713457184265224,0.9885375782019609,100,1.0,0.9942427538823051,0.7000045000450005,1.0972803120103094,100,1.0,1.0385117462104403,0.8299789769974519,1.112118907923128,100,1.0,0.9927675965001916,0.9479564010749286,1.0384906152534423
malecns_ge5,0.5524861878453039,B,0.15,100,100,1.0,0.30910734733267803,0.09999099990999909,0.8911434236385343,68,0.68,1.0,1.0,1.0,100,1.0,0.9629636378856756,0.9594308156178517,0.9733493418334186,100,1.0,0.857136734737609,0.30121542893043834,1.24732342991943,100,1.0,1.1875808598853141,0.8635858792424029,1.330882596237203,100,1.0,0.9782139456745763,0.9293310122604559,1.0572547894926312
malecns_ge5,0.5524861878453039,B,0.2,100,100,1.0,0.2111109999099991,0.030608871338047572,0.6291766249662497,55,0.55,1.0,1.0,1.0,100,1.0,0.9518016143975299,0.9426927262505866,0.9641831150813094,100,1.0,0.8690402211412775,0.2767788265798101,1.3045920531308512,100,1.0,1.0164895748719505,0.8420239824726253,1.3065901508915547,100,1.0,0.9648161837365544,0.916491502392049,1.0370240000917348
malecns_ge5,0.5524861878453039,B,0.3,100,100,1.0,0.24746510262421018,0.0,0.5569366249662496,55,0.55,1.0,1.0,1.0,100,1.0,0.9176216804460284,0.9025656426609455,0.9376789039089376,100,1.0,0.6432630967789439,0.0,1.2857051021064134,100,1.0,1.0741871205653708,0.5638151206804727,1.3364108192194486,100,1.0,0.9613127327691969,0.9134012548478853,1.0074979366318262
malecns_ge5,0.5524861878453039,B,0.4,100,100,1.0,0.0,0.0,0.373620125101251,37,0.37,,,,100,1.0,0.8809829599193407,0.8676278227911522,0.9007778363605605,100,1.0,0.266077099507147,0.0,1.1208872459202799,100,1.0,0.9892767298324647,0.39223080259851084,1.2237989758752286,100,1.0,0.9197286021474278,0.8721147168657295,1.0038001194712112
malecns_ge5,0.5524861878453039,B,0.5,100,100,1.0,0.0,0.0,0.010202957112682523,18,0.18,,,,100,1.0,0.8395415675979555,0.822349063123746,0.8627321908418609,100,1.0,0.0,0.0,0.1987150734870751,100,1.0,0.9318725999720296,0.31237814163175714,1.1638024370584663,100,1.0,0.8884800109203932,0.8609342532972714,0.9576769306096513
malecns_ge5,0.5524861878453039,B,0.7,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.6983200983868914,0.6741141858508568,0.736389441897168,100,1.0,0.0,0.0,0.0,100,1.0,0.4623858378079859,0.23425313065815495,0.693009819899281,100,1.0,0.7774682393540542,0.7206281736523079,0.8716201716338768
malecns_ge5,0.5524861878453039,B,0.85,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.5091111724554,0.4570201893867109,0.5465611122858955,100,1.0,0.0,0.0,0.0,100,1.0,0.0,0.0,0.21959112287495652,100,1.0,0.5747985507266955,0.482198311046819,0.6202531715051312
malecns_ge5,0.5524861878453039,B,0.95,100,100,1.0,0.0,0.0,0.0,0,0.0,,,,100,1.0,0.24140423128697347,0.2059732602758971,0.28008519049559283,100,1.0,0.0,0.0,0.0,100,1.0,0.0,0.0,0.0,100,1.0,0.2654182123117813,0.15854349308505555,0.3133982963050451
