group,neuron,intact_hz,without_PVLP069_hz,change_hz,sign
chain,CL213_L(acet),7.1,0.0,-7.1,1
chain,CL213_R(acet),11.7,0.0,-11.7,1
chain,GNG119_R(gaba),98.8,97.6,-1.2,-1
chain,GNG119_L(gaba),12.8,14.0,1.2,-1
chain,DNge031_L(gaba),1.2,0.8,-0.4,-1
chain,DNge031_R(gaba),14.3,7.5,-6.8,-1
chain,DNg74_a_R(gaba),11.1,3.3,-7.7,-1
chain,DNg74_a_L(gaba),11.5,4.0,-7.5,-1
chain,GNG108_R(acet),2.4,0.1,-2.3,1
chain,GNG108_L(acet),3.2,0.5,-2.7,1
chain,AVLP535_R(gaba),133.2,0.1,-133.1,-1
chain,AVLP535_L(gaba),131.6,0.0,-131.6,-1
chain,MN9_L(acet),10.8,2.1,-8.7,1
chain,MN9_R(acet),0.1,0.0,-0.1,1
drop,PVLP069_L(acet),327.2,0.0,-327.2,1
drop,PVLP069_R(acet),314.3,0.0,-314.3,1
drop,AVLP535_R(gaba),133.2,0.1,-133.1,-1
drop,AVLP535_L(gaba),131.6,0.0,-131.6,-1
drop,CB2323_R(acet),102.1,0.0,-102.1,1
drop,CB2512_L(acet),94.5,0.0,-94.5,1
drop,CB1852_L(acet),91.5,1.9,-89.6,1
drop,CB3488_L(acet),89.6,0.0,-89.6,1
drop,AVLP432_R(acet),101.7,15.5,-86.3,1
drop,AVLP710m_R(gaba),86.0,0.0,-86.0,-1
drop,AVLP498_R(acet),128.9,46.3,-82.7,1
drop,AVLP573_L(acet),114.3,36.3,-78.0,1
drop,AVLP311_a2_L(acet),77.9,0.0,-77.9,1
drop,AVLP573_R(acet),103.5,26.1,-77.3,1
drop,AVLP710m_L(gaba),74.0,0.0,-74.0,-1
drop,AVLP507_L(acet),73.6,0.0,-73.6,1
drop,CB3488_R(acet),72.0,0.0,-72.0,1
drop,LT79_L(acet),71.5,0.0,-71.5,1
drop,AVLP088_L(glut),70.8,0.0,-70.8,-1
drop,AVLP311_a2_R(acet),69.6,0.0,-69.6,1
drop,AVLP067_R(glut),68.7,0.0,-68.7,-1
drop,CB0929_R(acet),67.1,0.0,-67.1,1
drop,AVLP250_L(acet),65.6,0.0,-65.6,1
drop,AVLP311_a2_R(acet),62.9,0.0,-62.9,1
drop,CB1852_L(acet),63.2,0.5,-62.7,1
rise,DNge053_R(acet),54.7,92.0,37.3,1
rise,DNg55_M(gaba),2.0,38.0,36.0,-1
rise,AVLP153_L(acet),16.9,52.1,35.2,1
rise,AVLP500_L(acet),159.2,193.2,34.0,1
rise,AVLP600_R(acet),5.2,38.4,33.2,1
rise,AVLP430_R(acet),36.7,69.2,32.5,1
rise,AVLP600_L(acet),2.3,34.7,32.4,1
rise,DNge053_L(acet),74.4,105.3,30.9,1
rise,AVLP331a_L(acet),6.0,36.3,30.3,1
rise,AVLP600_R(acet),31.9,61.9,30.0,1
rise,LT56_L(glut),109.3,138.8,29.5,-1
rise,AVLP571_R(acet),19.1,48.5,29.5,1
rise,PVLP120_L(acet),3.3,31.9,28.5,1
rise,AVLP434_b_R(acet),35.7,64.0,28.3,1
rise,AVLP600_L(acet),18.4,46.4,28.0,1
