graph,w,removed,dt,fly,sd,s150,s150_MN9_L,s150_active,s80,s80_MN9_L,s80_active,s40,s40_MN9_L,s40_active,s150_l100,s150_l100_MN9_L,s150_l100_active,s150_l150,s150_l150_MN9_L,s150_l150_active,s80_l100,s80_l100_MN9_L,s80_l100_active,s40_l100,s40_l100_MN9_L,s40_l100_active,s150_lL150,s150_lL150_MN9_L,s150_lL150_active,s150_lR150,s150_lR150_MN9_L,s150_lR150_active,loom,loom_MN9_L,loom_active
malecns_all,0.152,intact,0.2,1,0.5,67.0,125.2,5390.6,6.2,12.4,303.4,0.0,0.0,75.6,39.2,76.4,3104.8,22.0,44.0,5665.8,0.0,0.0,2888.8,0.0,0.0,2841.4,61.0,113.2,4709.0,63.2,120.4,4675.0,386.4,0.0,3699.4
malecns_all,0.152,intact,0.2,10,0.5,56.400000000000006,110.4,9953.4,19.6,39.2,397.6,1.0,2.0,80.6,38.0,74.4,7396.2,21.2,42.4,7019.2,0.0,0.0,2926.8,0.0,0.0,2856.8,52.2,98.4,7155.0,55.2,104.4,4828.6,390.79999999999995,0.0,3283.8
malecns_all,0.152,PVLP069_L,0.2,4,0.5,53.2,102.4,11827.2,8.2,16.4,275.0,0.0,0.0,81.4,25.8,51.6,13433.6,18.2,36.4,13418.2,0.8,1.6,2888.8,0.0,0.0,2807.2,42.0,80.4,13083.8,33.199999999999996,64.8,11047.0,382.8,0.0,3232.2
malecns_all,0.152,intact,0.2,4,0.5,53.2,102.4,11827.2,8.2,16.4,275.0,0.0,0.0,81.4,25.2,50.4,11398.4,17.2,34.4,9669.0,0.0,0.0,2908.6,0.0,0.0,2863.0,38.4,73.6,13223.2,37.2,72.0,11078.6,383.0,0.0,3272.2
malecns_all,0.152,PVLP069_L,0.2,1,0.5,67.0,125.2,5390.6,6.2,12.4,303.4,0.0,0.0,75.6,39.6,77.2,5154.2,21.0,42.0,9849.6,7.2,14.4,2846.4,0.0,0.0,2776.0,70.0,128.4,4421.2,59.800000000000004,113.2,2596.2,385.8,0.0,3694.0
malecns_all,0.152,intact,0.2,8,0.5,64.2,120.4,8931.4,20.0,40.0,368.8,1.2,2.4,99.0,35.0,67.2,7294.8,16.0,32.0,9629.8,1.0,2.0,4436.8,0.0,0.0,2872.0,52.4,97.2,6890.8,57.6,106.8,6790.0,384.4,0.0,3285.8
malecns_all,0.152,intact,0.2,2,0.5,51.0,96.8,12303.8,23.4,46.4,4988.0,1.2,2.4,94.8,43.0,82.4,13577.2,23.4,46.8,14037.4,0.8,1.6,2951.0,0.0,0.0,2843.4,53.0,98.4,11229.8,48.0,90.8,13428.6,385.8,0.0,3548.6
malecns_all,0.152,PVLP069_L,0.2,3,0.5,48.199999999999996,94.8,12240.0,15.4,30.8,2397.2,0.2,0.4,90.0,34.0,68.0,13568.0,20.2,40.4,13934.0,2.6,5.2,4982.8,0.0,0.0,2855.6,35.0,69.2,13339.6,33.400000000000006,66.4,13275.6,385.4,0.0,3321.8
malecns_all,0.152,intact,0.2,6,0.5,41.2,81.2,12324.8,11.6,23.2,374.6,0.2,0.4,90.8,29.2,58.4,13578.2,18.0,36.0,13364.0,0.2,0.4,2965.0,0.0,0.0,2897.6,26.8,53.2,13381.4,31.0,61.2,13407.6,386.4,0.0,3345.4
malecns_all,0.152,intact,0.2,3,0.5,48.199999999999996,94.8,12240.0,15.4,30.8,2397.2,0.2,0.4,90.0,33.6,67.2,13600.6,24.2,48.4,14010.0,6.8,13.6,7147.4,0.0,0.0,2910.0,32.6,64.8,13364.0,38.400000000000006,76.4,13307.4,386.0,0.0,3429.0
