graph,w,dt,sd,removed,flies,s150_l100_ok,s150_l100_med,s150_l150_ok,s150_l150_med,s80_l100_ok,s80_l100_med,s40_l100_ok,s40_l100_med,s150_lL150_ok,s150_lL150_med,s150_lR150_ok,s150_lR150_med,s150_med,s80_med,s40_med,loom_med
malecns_all,0.152,0.1,0.5,PVLP069_L,10,0.4,39.2,0.0,21.0,0.0,1.4,0.0,0.0,0.9,47.8,0.9,48.8,53.0,14.9,0.3,382.4
malecns_all,0.152,0.1,0.5,PVLP069_R,10,0.6,46.7,0.0,24.0,0.3,1.9,0.0,0.0,0.9,51.8,1.0,49.3,53.0,14.9,0.3,382.5
malecns_all,0.152,0.1,0.5,PVLP069_both,10,0.7,42.5,0.0,23.4,0.1,2.6,0.0,0.0,0.9,51.9,1.0,51.8,53.0,14.9,0.3,381.3
malecns_all,0.152,0.1,0.5,intact,10,0.3,35.5,0.0,22.6,0.0,2.4,0.0,0.0,0.8,48.8,0.9,47.8,53.0,14.9,0.3,383.1
malecns_all,0.152,0.1,1.0,PVLP069_L,10,0.5,38.5,0.0,26.1,0.1,3.7,0.0,0.0,0.8,44.9,0.9,54.3,55.2,24.1,0.6,381.9
malecns_all,0.152,0.1,1.0,PVLP069_R,10,0.8,48.4,0.0,26.5,0.0,5.7,0.0,0.0,0.7,48.3,0.9,52.5,55.2,24.1,0.6,381.1
malecns_all,0.152,0.1,1.0,PVLP069_both,10,0.8,49.5,0.0,25.6,0.0,3.6,0.0,0.0,0.9,50.9,1.0,53.4,55.2,24.1,0.6,380.2
malecns_all,0.152,0.1,1.0,intact,10,0.6,43.0,0.0,24.2,0.1,6.4,0.0,0.0,0.8,47.9,0.8,52.7,55.2,24.1,0.6,382.7
malecns_all,0.152,0.2,0.5,PVLP069_L,10,0.2,33.7,0.0,19.8,0.1,0.8,0.0,0.0,1.0,47.0,0.7,49.9,54.5,13.5,0.2,385.6
malecns_all,0.152,0.2,0.5,PVLP069_R,10,0.5,37.7,0.0,24.1,0.1,0.9,0.0,0.0,0.9,47.3,1.0,50.9,54.5,13.5,0.2,384.7
malecns_all,0.152,0.2,0.5,PVLP069_both,10,0.4,38.9,0.0,21.0,0.1,0.3,0.0,0.0,0.8,53.3,1.0,55.1,54.5,13.5,0.2,384.0
malecns_all,0.152,0.2,0.5,intact,10,0.3,34.9,0.0,21.6,0.0,0.5,0.0,0.0,0.8,49.3,0.9,47.0,54.5,13.5,0.2,386.2
malecns_all,0.152,0.2,1.0,PVLP069_L,10,0.6,41.3,0.0,25.5,0.1,3.5,0.0,0.0,0.7,49.1,0.8,49.4,56.6,19.6,0.6,384.6
malecns_all,0.152,0.2,1.0,PVLP069_R,10,0.5,41.7,0.0,25.2,0.1,4.8,0.0,0.0,0.8,47.2,0.9,48.9,56.6,19.6,0.6,384.1
malecns_all,0.152,0.2,1.0,PVLP069_both,10,0.4,41.7,0.0,24.7,0.2,2.5,0.0,0.0,0.8,51.8,0.9,46.7,56.6,19.6,0.6,382.8
malecns_all,0.152,0.2,1.0,intact,10,0.3,38.8,0.0,24.2,0.0,5.2,0.0,0.0,0.8,49.3,0.8,47.1,56.6,19.6,0.6,385.1
malecns_all,0.275,0.2,0.5,PVLP069_L,5,0.8,141.4,0.0,91.2,0.4,68.2,0.0,24.6,1.0,152.6,1.0,159.4,163.6,108.2,101.6,393.4
malecns_all,0.275,0.2,0.5,PVLP069_R,5,1.0,147.4,0.0,101.8,0.4,73.4,0.0,20.2,1.0,153.4,1.0,162.0,163.6,108.2,101.6,392.6
malecns_all,0.275,0.2,0.5,PVLP069_both,5,0.8,145.2,0.2,105.2,0.6,70.0,0.0,16.6,1.0,152.4,1.0,160.0,163.6,108.2,101.6,392.4
malecns_all,0.275,0.2,0.5,intact,5,0.8,140.6,0.0,92.6,0.4,75.4,0.2,15.4,1.0,152.6,1.0,156.8,163.6,108.2,101.6,393.6
