graph,mode,frac,mask,syn_lost
malecns_all,A,0.0,0,0.0
malecns_all,A,0.01,0,0.0200051447672916
malecns_all,A,0.02,0,0.03903824393663196
malecns_all,A,0.05,0,0.09752018959138302
malecns_all,A,0.1,0,0.18688402663442671
malecns_all,A,0.15,0,0.27320730040285574
malecns_all,A,0.2,0,0.3569500953863787
malecns_all,A,0.3,0,0.5039225222299051
malecns_all,A,0.4,0,0.6341480010416606
malecns_all,A,0.5,0,0.7476715066084313
malecns_all,A,0.7,0,0.906690645371742
malecns_all,A,0.85,0,0.9753356834070435
malecns_all,A,0.95,0,0.9957964458243378
malecns_all,A,0.0,1,0.0
malecns_all,A,0.01,1,0.01957532835746741
malecns_all,A,0.02,1,0.03858252146909101
malecns_all,A,0.05,1,0.09575311102888041
malecns_all,A,0.1,1,0.18796503409480694
malecns_all,A,0.15,1,0.27124211669310727
malecns_all,A,0.2,1,0.3530129390155598
malecns_all,A,0.3,1,0.5018304125442533
malecns_all,A,0.4,1,0.631614923972695
malecns_all,A,0.5,1,0.7417352378970293
malecns_all,A,0.7,1,0.9045818696975125
malecns_all,A,0.85,1,0.9752087413053651
malecns_all,A,0.95,1,0.9959129464866314
malecns_all,A,0.0,2,0.0
malecns_all,A,0.01,2,0.01993167573588322
malecns_all,A,0.02,2,0.03850561764758386
malecns_all,A,0.05,2,0.09689638816985402
malecns_all,A,0.1,2,0.18794482849859212
malecns_all,A,0.15,2,0.27835142266345136
malecns_all,A,0.2,2,0.36000181769737055
malecns_all,A,0.3,2,0.5104825036710731
malecns_all,A,0.4,2,0.6385302207426716
malecns_all,A,0.5,2,0.7458221301526468
malecns_all,A,0.7,2,0.9076725276925114
malecns_all,A,0.85,2,0.9752381950336063
malecns_all,A,0.95,2,0.9958696890948946
malecns_all,A,0.0,3,0.0
malecns_all,A,0.01,3,0.020303834436795936
malecns_all,A,0.02,3,0.04049767496155575
malecns_all,A,0.05,3,0.09689541256045976
malecns_all,A,0.1,3,0.18881145990463893
malecns_all,A,0.15,3,0.2799210652983753
malecns_all,A,0.2,3,0.36248185709199415
malecns_all,A,0.3,3,0.5103900465394707
malecns_all,A,0.4,3,0.6402809477692111
malecns_all,A,0.5,3,0.7492695628591018
malecns_all,A,0.7,3,0.9066901132211634
malecns_all,A,0.85,3,0.9748653509872514
malecns_all,A,0.95,3,0.9958901688292863
malecns_all,A,0.0,4,0.0
malecns_all,A,0.01,4,0.019898851720643585
malecns_all,A,0.02,4,0.03929944117900186
malecns_all,A,0.05,4,0.09934592566085401
malecns_all,A,0.1,4,0.1925455605152527
malecns_all,A,0.15,4,0.2815640076440689
malecns_all,A,0.2,4,0.3599574718158137
malecns_all,A,0.3,4,0.5081025327739044
malecns_all,A,0.4,4,0.6383080962533971
malecns_all,A,0.5,4,0.747426580273149
malecns_all,A,0.7,4,0.9078158777703659
malecns_all,A,0.85,4,0.9754412507938114
malecns_all,A,0.95,4,0.9959738616021154
malecns_all,A,0.0,5,0.0
malecns_all,A,0.01,5,0.02149569047529319
malecns_all,A,0.02,5,0.04143896064348164
malecns_all,A,0.05,5,0.09892476879226475
malecns_all,A,0.1,5,0.18782064390445782
malecns_all,A,0.15,5,0.27789357965648326
malecns_all,A,0.2,5,0.35797892790138536
malecns_all,A,0.3,5,0.5027665057265933
malecns_all,A,0.4,5,0.6317960567416359
malecns_all,A,0.5,5,0.7435911614175091
malecns_all,A,0.7,5,0.9047030468345886
