graph,mode,frac,mask,syn_lost
malecns_ge5,A,0.0,0,0.0
malecns_ge5,A,0.01,0,0.01961102845530888
malecns_ge5,A,0.02,0,0.03843183319098095
malecns_ge5,A,0.05,0,0.09694491963033158
malecns_ge5,A,0.1,0,0.18633750128759058
malecns_ge5,A,0.15,0,0.2724653004159039
malecns_ge5,A,0.2,0,0.3563743259046085
malecns_ge5,A,0.3,0,0.5031334630558209
malecns_ge5,A,0.4,0,0.6339861104150535
malecns_ge5,A,0.5,0,0.7481849945957136
malecns_ge5,A,0.7,0,0.9064583314736195
malecns_ge5,A,0.85,0,0.9753491946216332
malecns_ge5,A,0.95,0,0.9958717753580343
malecns_ge5,A,0.0,1,0.0
malecns_ge5,A,0.01,1,0.019731933531384072
malecns_ge5,A,0.02,1,0.03865766234220113
malecns_ge5,A,0.05,1,0.09552848362110669
malecns_ge5,A,0.1,1,0.18810895177773088
malecns_ge5,A,0.15,1,0.27076062688362534
malecns_ge5,A,0.2,1,0.35189336022955847
malecns_ge5,A,0.3,1,0.500467288256279
malecns_ge5,A,0.4,1,0.6302543683882161
malecns_ge5,A,0.5,1,0.7405466556573841
malecns_ge5,A,0.7,1,0.9039872385578178
malecns_ge5,A,0.85,1,0.9752721314267709
malecns_ge5,A,0.95,1,0.9959963246372505
malecns_ge5,A,0.0,2,0.0
malecns_ge5,A,0.01,2,0.02011790702246972
malecns_ge5,A,0.02,2,0.03821150934970465
malecns_ge5,A,0.05,2,0.0969148410239783
malecns_ge5,A,0.1,2,0.1873201099577561
malecns_ge5,A,0.15,2,0.2782144153509617
malecns_ge5,A,0.2,2,0.3601439030068699
malecns_ge5,A,0.3,2,0.5112521681476341
malecns_ge5,A,0.4,2,0.6392737154404029
malecns_ge5,A,0.5,2,0.7460734296234331
malecns_ge5,A,0.7,2,0.9081399807744324
malecns_ge5,A,0.85,2,0.9753500081593374
malecns_ge5,A,0.95,2,0.9959356882174031
malecns_ge5,A,0.0,3,0.0
malecns_ge5,A,0.01,3,0.020188027285965447
malecns_ge5,A,0.02,3,0.04060475896599625
malecns_ge5,A,0.05,3,0.09672377110699892
malecns_ge5,A,0.1,3,0.18877590781864453
malecns_ge5,A,0.15,3,0.281068227607032
malecns_ge5,A,0.2,3,0.36389525909342635
malecns_ge5,A,0.3,3,0.5111637711466728
malecns_ge5,A,0.4,3,0.640976962495611
malecns_ge5,A,0.5,3,0.7497656872107337
malecns_ge5,A,0.7,3,0.9066669648895292
malecns_ge5,A,0.85,3,0.9749032422274747
malecns_ge5,A,0.95,3,0.995981692102926
malecns_ge5,A,0.0,4,0.0
malecns_ge5,A,0.01,4,0.01990265386140489
malecns_ge5,A,0.02,4,0.03918540313651772
malecns_ge5,A,0.05,4,0.09949935001123518
malecns_ge5,A,0.1,4,0.19269189941896803
malecns_ge5,A,0.15,4,0.282265565653713
malecns_ge5,A,0.2,4,0.3600473483401619
malecns_ge5,A,0.3,4,0.5077772254265392
malecns_ge5,A,0.4,4,0.6383023514215195
malecns_ge5,A,0.5,4,0.7477929697214305
malecns_ge5,A,0.7,4,0.9082871085110298
malecns_ge5,A,0.85,4,0.9757325603343243
malecns_ge5,A,0.95,4,0.9960935925424937
malecns_ge5,A,0.0,5,0.0
malecns_ge5,A,0.01,5,0.02178502408812704
malecns_ge5,A,0.02,5,0.041679854614348526
malecns_ge5,A,0.05,5,0.09896454369767888
malecns_ge5,A,0.1,5,0.18707183608138012
malecns_ge5,A,0.15,5,0.27791718433575274
malecns_ge5,A,0.2,5,0.35766717104889895
malecns_ge5,A,0.3,5,0.5020932269408783
malecns_ge5,A,0.4,5,0.6312041569414085
malecns_ge5,A,0.5,5,0.7433303030725502
malecns_ge5,A,0.7,5,0.9042683882729275
malecns_ge5,A,0.85,5,0.9751801905218378
malecns_ge5,A,0.95,5,0.995915594950543
malecns_ge5,A,0.0,6,0.0
malecns_ge5,A,0.01,6,0.02010583768913122
malecns_ge5,A,0.02,6,0.038303472543342085
malecns_ge5,A,0.05,6,0.09545460771094885
malecns_ge5,A,0.1,6,0.191614463456672
malecns_ge5,A,0.15,6,0.2781465573909449
malecns_ge5,A,0.2,6,0.3599634982348628
malecns_ge5,A,0.3,6,0.5070366386512142
malecns_ge5,A,0.4,6,0.6317592125427544
malecns_ge5,A,0.5,6,0.7467896882780952
malecns_ge5,A,0.7,6,0.9051674588796531
malecns_ge5,A,0.85,6,0.974691555259086
malecns_ge5,A,0.95,6,0.9956151097845172
malecns_ge5,A,0.0,7,0.0
malecns_ge5,A,0.01,7,0.02030586766520953
malecns_ge5,A,0.02,7,0.039239977028815654
malecns_ge5,A,0.05,7,0.09523844071301074
malecns_ge5,A,0.1,7,0.18604330153615645
malecns_ge5,A,0.15,7,0.27235617492001224
malecns_ge5,A,0.2,7,0.3521431051604134
malecns_ge5,A,0.3,7,0.5027673265114965
malecns_ge5,A,0.4,7,0.6279739887701261
malecns_ge5,A,0.5,7,0.7394851561186099
malecns_ge5,A,0.7,7,0.9033982706929918
malecns_ge5,A,0.85,7,0.9748359749181199
malecns_ge5,A,0.95,7,0.9959588127480378
malecns_ge5,A,0.0,8,0.0
malecns_ge5,A,0.01,8,0.019651003246338627
malecns_ge5,A,0.02,8,0.04101363410067436
malecns_ge5,A,0.05,8,0.09740463529934973
malecns_ge5,A,0.1,8,0.18725821422611985
malecns_ge5,A,0.15,8,0.2739393638699057
malecns_ge5,A,0.2,8,0.35450025822021064
malecns_ge5,A,0.3,8,0.5044173481410122
malecns_ge5,A,0.4,8,0.6336867842616473
malecns_ge5,A,0.5,8,0.7415667650724103
malecns_ge5,A,0.7,8,0.9051953420486402
malecns_ge5,A,0.85,8,0.9750409195534802
malecns_ge5,A,0.95,8,0.9958773363897387
malecns_ge5,A,0.0,9,0.0
malecns_ge5,A,0.01,9,0.01812743658025035
malecns_ge5,A,0.02,9,0.036280293427670716
malecns_ge5,A,0.05,9,0.09975213735021699
malecns_ge5,A,0.1,9,0.1898014779662061
malecns_ge5,A,0.15,9,0.27787450146715953
malecns_ge5,A,0.2,9,0.36103006845384855
malecns_ge5,A,0.3,9,0.5113260774908482
malecns_ge5,A,0.4,9,0.639372053203449
malecns_ge5,A,0.5,9,0.7467385579906002
malecns_ge5,A,0.7,9,0.9065966774607518
malecns_ge5,A,0.85,9,0.9752333267927131
malecns_ge5,A,0.95,9,0.9959177792435573
malecns_ge5,A,0.0,10,0.0
malecns_ge5,A,0.01,10,0.01974786995490583
malecns_ge5,A,0.02,10,0.04204713902694048
malecns_ge5,A,0.05,10,0.09651195040638492
malecns_ge5,A,0.1,10,0.1887876985431802
malecns_ge5,A,0.15,10,0.27414258113068835
malecns_ge5,A,0.2,10,0.3577251328242393
malecns_ge5,A,0.3,10,0.5054594007853492
malecns_ge5,A,0.4,10,0.6294174721219296
malecns_ge5,A,0.5,10,0.7412814473696103
malecns_ge5,A,0.7,10,0.9050671708549872
malecns_ge5,A,0.85,10,0.9752173680804871
malecns_ge5,A,0.95,10,0.995748786288114
malecns_ge5,A,0.0,11,0.0
malecns_ge5,A,0.01,11,0.018541282095970904
malecns_ge5,A,0.02,11,0.03883112418284177
malecns_ge5,A,0.05,11,0.09590840572899492
malecns_ge5,A,0.1,11,0.1859669627241816
malecns_ge5,A,0.15,11,0.27289581788238565
malecns_ge5,A,0.2,11,0.3538004263405633
malecns_ge5,A,0.3,11,0.5050490211631358
malecns_ge5,A,0.4,11,0.6364890538891944
malecns_ge5,A,0.5,11,0.7445741576449514
malecns_ge5,A,0.7,11,0.9062631270020063
malecns_ge5,A,0.85,11,0.9751998937363737
malecns_ge5,A,0.95,11,0.9960580086261966
malecns_ge5,A,0.0,12,0.0
malecns_ge5,A,0.01,12,0.019968706436379328
malecns_ge5,A,0.02,12,0.04148293391250977
malecns_ge5,A,0.05,12,0.10141702554545168
malecns_ge5,A,0.1,12,0.1948224097898408
malecns_ge5,A,0.15,12,0.2811592212420356
malecns_ge5,A,0.2,12,0.36430550498341435
malecns_ge5,A,0.3,12,0.5120791459405399
malecns_ge5,A,0.4,12,0.6410608683226706
malecns_ge5,A,0.5,12,0.7491449245093289
malecns_ge5,A,0.7,12,0.909562991951404
malecns_ge5,A,0.85,12,0.9747812561492445
malecns_ge5,A,0.95,12,0.9960280303190123
malecns_ge5,A,0.0,13,0.0
malecns_ge5,A,0.01,13,0.019169667534221047
malecns_ge5,A,0.02,13,0.040020170831550655
malecns_ge5,A,0.05,13,0.09820847741726876
malecns_ge5,A,0.1,13,0.18934078159420203
malecns_ge5,A,0.15,13,0.2779880958482485
malecns_ge5,A,0.2,13,0.36200409597288696
malecns_ge5,A,0.3,13,0.5083318018207442
malecns_ge5,A,0.4,13,0.6327296292917081
malecns_ge5,A,0.5,13,0.7439599589669413
malecns_ge5,A,0.7,13,0.9058674022028216
malecns_ge5,A,0.85,13,0.9750359937498462
malecns_ge5,A,0.95,13,0.9958958471585987
malecns_ge5,A,0.0,14,0.0
malecns_ge5,A,0.01,14,0.019627399508563046
malecns_ge5,A,0.02,14,0.03859120857055062
malecns_ge5,A,0.05,14,0.09778856937399867
malecns_ge5,A,0.1,14,0.19311562997501291
malecns_ge5,A,0.15,14,0.2761125682537238
malecns_ge5,A,0.2,14,0.35971727491927563
malecns_ge5,A,0.3,14,0.5087973459859175
malecns_ge5,A,0.4,14,0.6338908819262469
malecns_ge5,A,0.5,14,0.744062286408044
malecns_ge5,A,0.7,14,0.9041378433322745
malecns_ge5,A,0.85,14,0.9743600330724251
malecns_ge5,A,0.95,14,0.9956546610901666
malecns_ge5,A,0.0,15,0.0
malecns_ge5,A,0.01,15,0.018545472372365434
malecns_ge5,A,0.02,15,0.03974219725679321
malecns_ge5,A,0.05,15,0.09598397558067395
malecns_ge5,A,0.1,15,0.18724223322518965
malecns_ge5,A,0.15,15,0.27773339168070327
malecns_ge5,A,0.2,15,0.3603424284954129
malecns_ge5,A,0.3,15,0.5056263320356515
malecns_ge5,A,0.4,15,0.6338388378018787
malecns_ge5,A,0.5,15,0.7410469702011503
malecns_ge5,A,0.7,15,0.903333265687116
malecns_ge5,A,0.85,15,0.9733632933637801
malecns_ge5,A,0.95,15,0.9958372501551879
malecns_ge5,A,0.0,16,0.0
malecns_ge5,A,0.01,16,0.020569264427403023
malecns_ge5,A,0.02,16,0.03807929275623465
malecns_ge5,A,0.05,16,0.09398695225941207
malecns_ge5,A,0.1,16,0.18745924719388835
malecns_ge5,A,0.15,16,0.27390940785142565
malecns_ge5,A,0.2,16,0.35187761326002265
malecns_ge5,A,0.3,16,0.5021383727112886
malecns_ge5,A,0.4,16,0.632555131026321
malecns_ge5,A,0.5,16,0.7410441061026573
malecns_ge5,A,0.7,16,0.9067052903164462
malecns_ge5,A,0.85,16,0.9752527513984462
malecns_ge5,A,0.95,16,0.9962283723369498
malecns_ge5,A,0.0,17,0.0
malecns_ge5,A,0.01,17,0.019483002138233407
malecns_ge5,A,0.02,17,0.040570412072783626
malecns_ge5,A,0.05,17,0.09703536719208164
malecns_ge5,A,0.1,17,0.18952586699409665
malecns_ge5,A,0.15,17,0.27737267129150595
malecns_ge5,A,0.2,17,0.3585719475639065
malecns_ge5,A,0.3,17,0.5082458231441915
malecns_ge5,A,0.4,17,0.6368809338869
malecns_ge5,A,0.5,17,0.7455016463495655
malecns_ge5,A,0.7,17,0.9070564934289389
malecns_ge5,A,0.85,17,0.9750514843992834
malecns_ge5,A,0.95,17,0.995985525760053
malecns_ge5,A,0.0,18,0.0
malecns_ge5,A,0.01,18,0.017711183884473368
malecns_ge5,A,0.02,18,0.03775365478748941
malecns_ge5,A,0.05,18,0.09535281519874765
malecns_ge5,A,0.1,18,0.19046321845033082
malecns_ge5,A,0.15,18,0.27705687378567656
malecns_ge5,A,0.2,18,0.3588478817222272
malecns_ge5,A,0.3,18,0.5086257452520797
malecns_ge5,A,0.4,18,0.6334369167429191
malecns_ge5,A,0.5,18,0.7409740861383305
malecns_ge5,A,0.7,18,0.9051969579796966
malecns_ge5,A,0.85,18,0.9742661976276327
